Model,Accuracy (acc),CER,WER,Levenshtein,Inference time (s)
paddleocr,0.799,0.10597090507953136,0.16901230158730157,1.626,0.030269826173782308
vietocr-pretrain,0.738,0.13119675742611378,0.21261688311688312,2.083,0.06949300000000001
vintern,0.632,0.10864626220126734,0.3298642857142857,0.81,1.496049
trocr-pretrain,0.622,0.20498190405557867,0.26519199134199134,2.717,0.152617
cnntr_efficientNet,0.604,0.1617121701919167,0.395429834054834,1.631,0.189624
cnntr_resnet,0.552,0.17127933812612475,0.4373287518037518,1.718,0.186404
essayocr,0.306,0.30194822984972464,0.6941748917748918,2.821,0.05080000000000001
vietocr,0.09,0.7579801128979368,0.913875,8.64,0.06001000000000001
